YopCode,Name,Faculty,DepartmentName,Language,City,UniversityType,Price,EducationType,Quota2022,Quota2021,Quota2020,Quota2019,Fullness,Settled2022,Settled2021,Settled2020,Settled2019,MinimumSuccessRank2022,MinimumSuccessRank2021,MinimumSuccessRank2020,MinimumSuccessRank2019,MinimumPoint2022,MinimumPoint2021,MinimumPoint2020,MinimumPoint2019
"106090160","KAHRAMANMARAŞ SÜTÇÜ İMAM ÜNİVERSİTESİ","İlahiyat Fakültesi","İlahiyat (M.T.O.K.)","(M.T.O.K.) (İÖ) (4 Yıllık)","KAHRAMANMARAŞ","Devlet","İÖ-Ücretli","İkinci","12+0","12+0","---","---","Doldu","12","12","---","---","568.130","453.272","---","---","273,94150","236,02716","---","---"
"107410745","MERSİN ÜNİVERSİTESİ","İnsan ve Toplum Bilimleri Fakültesi","Sanat Tarihi","(4 Yıllık)","MERSİN","Devlet","Ücretsiz","Örgün","60+2","60+2","60+2","60+2","Doldu","62","62","62","62","569.119","495.440","465.000","428.639","273,92609","230,45282","255,53542","273,74823"
"107610107","MUĞLA SITKI KOÇMAN ÜNİVERSİTESİ","Edebiyat Fakültesi","Çağdaş Türk Lehçeleri ve Edebiyatları","(4 Yıllık)","MUĞLA","Devlet","Ücretsiz","Örgün","60+2","60+2","60+2","50+2","Doldu","62","62","62","52","570.020","526.124","404.000","378.609","273,83727","225,39320","264,86906","281,24036"
"204590346","NİŞANTAŞI ÜNİVERSİTESİ","İktisadi, İdari ve Sosyal Bilimler Fakültesi","Halkla İlişkiler ve Reklamcılık (Fakülte)","(%50 İndirimli) (4 Yıllık)","İSTANBUL","Vakıf","%50 İndirimli","Örgün","41+0","55+0","51+0","---","Doldu","41","25","49","---","570.218","Dolmadı","Dolmadı","---","273,81580","Dolmadı","Dolmadı","---"
"206210246","İSTANBUL YENİ YÜZYIL ÜNİVERSİTESİ","İletişim Fakültesi","Halkla İlişkiler ve Reklamcılık (Fakülte)","(%50 İndirimli) (4 Yıllık)","İSTANBUL","Vakıf","%50 İndirimli","Örgün","16+0","16+0","36+0","21+0","Doldu","16","11","4","5","571.204","Dolmadı","Dolmadı","Dolmadı","273,70647","Dolmadı","Dolmadı","Dolmadı"
"112110883","TRABZON ÜNİVERSİTESİ","İletişim Fakültesi","Gazetecilik","(4 Yıllık)","TRABZON","Devlet","Ücretsiz","Örgün","70+2","70+2","70+2","70+2","Doldu","72","72","72","72","571.667","504.934","417.000","386.880","273,66026","229,04460","262,70672","279,97302"
"102630523","SİVAS CUMHURİYET ÜNİVERSİTESİ","İlahiyat Fakültesi","İlahiyat","(İÖ) (4 Yıllık)","SİVAS","Devlet","İÖ-Ücretli","İkinci","125+4","125+4","130+4","130+4","Doldu","129","108","134","134","573.788","Dolmadı","213.000","203.962","273,43854","Dolmadı","300,47548","313,34405"
"101430034","ATATÜRK ÜNİVERSİTESİ","Edebiyat Fakültesi","Coğrafya","(İÖ) (4 Yıllık)","ERZURUM","Devlet","İÖ-Ücretli","İkinci","40+1","40+1","40+1","60+2","Doldu","41","41","41","62","576.870","511.215","363.000","375.714","273,12027","228,06216","271,49229","281,67849"
"103590353","ERCİYES ÜNİVERSİTESİ","İletişim Fakültesi","Gazetecilik","(Uzaktan Öğretim) (4 Yıllık)","KAYSERİ","Devlet","UE-Ücretli","Uzaktan","50+2","50+2","50+2","---","Doldu","52","52","29","---","577.594","558.845","Dolmadı","---","273,04706","209,61088","Dolmadı","---"
"204590515","NİŞANTAŞI ÜNİVERSİTESİ","İktisadi, İdari ve Sosyal Bilimler Fakültesi","Halkla İlişkiler ve Reklamcılık (Fakülte)","(Ücretli) (4 Yıllık)","İSTANBUL","Vakıf","Ücretli","Örgün","1+0","1+0","1+0","---","Doldu","1","---","---","---","577.818","Dolmadı","Dolmadı","---","273,02281","Dolmadı","Dolmadı","---"
"106030023","KAHRAMANMARAŞ SÜTÇÜ İMAM ÜNİVERSİTESİ","İnsan ve Toplum Bilimleri Fakültesi","Coğrafya","(İÖ) (4 Yıllık)","KAHRAMANMARAŞ","Devlet","İÖ-Ücretli","İkinci","40+1","40+1","40+1","50+2","Doldu","41","32","41","52","577.860","Dolmadı","395.000","347.347","273,01892","Dolmadı","266,32950","286,21771"
"101810132","BAYBURT ÜNİVERSİTESİ","İlahiyat Fakültesi","İlahiyat","(4 Yıllık)","BAYBURT","Devlet","Ücretsiz","Örgün","153+4","153+4","170+5","180+5","Doldu","157","130","175","185","578.326","Dolmadı","267.000","225.064","272,96929","Dolmadı","288,94230","308,73791"
"202790574","İSTANBUL GELİŞİM ÜNİVERSİTESİ","Uygulamalı Bilimler Fakültesi","Gastronomi ve Mutfak Sanatları (Fakülte)","(İngilizce) (%50 İndirimli) (4 Yıllık)","İSTANBUL","Vakıf","%50 İndirimli","Örgün","61+0","51+0","---","---","Doldu","61","51","---","---","578.697","451.080","---","---","272,92750","236,30389","---","---"
"103390147","DÜZCE ÜNİVERSİTESİ","İlahiyat Fakültesi","İlahiyat","(İÖ) (4 Yıllık)","DÜZCE","Devlet","İÖ-Ücretli","İkinci","70+2","70+2","80+2","80+2","Doldu","72","53","82","82","579.089","Dolmadı","240.000","218.601","272,88787","Dolmadı","294,53404","310,10881"
"206090356","YAŞAR ÜNİVERSİTESİ","Sanat ve Tasarım Fakültesi","Çizgi Film ve Animasyon","(Ücretli) (4 Yıllık)","İZMİR","Vakıf","Ücretli","Örgün","3+0","2+0","5+0","3+0","Doldu","3","---","3","2","579.665","Dolmadı","Dolmadı","Dolmadı","272,83207","Dolmadı","Dolmadı","Dolmadı"
"106030077","KAHRAMANMARAŞ SÜTÇÜ İMAM ÜNİVERSİTESİ","İnsan ve Toplum Bilimleri Fakültesi","Türk Dili ve Edebiyatı","(İÖ) (4 Yıllık)","KAHRAMANMARAŞ","Devlet","İÖ-Ücretli","İkinci","70+2","70+2","70+2","70+2","Doldu","72","72","72","72","579.719","547.340","422.000","371.765","272,82744","219,79010","261,95311","282,29377"
"205410962","TOBB EKONOMİ VE TEKNOLOJİ ÜNİVERSİTESİ","Mimarlık ve Tasarım Fakültesi","Görsel İletişim Tasarımı","(Ücretli) (4 Yıllık)","ANKARA","Vakıf","Ücretli","Örgün","15+0","9+0","9+0","15+0","Doldu","15","9","9","10","580.142","399.673","703.000","Dolmadı","272,78141","242,91649","223,82601","Dolmadı"
"100410139","AFYON KOCATEPE ÜNİVERSİTESİ","Fen-Edebiyat Fakültesi","Tarih","(4 Yıllık)","AFYONKARAHİSAR","Devlet","Ücretsiz","Örgün","80+2","80+2","80+2","80+2","Doldu","82","63","82","82","580.161","Dolmadı","440.000","351.049","272,77992","Dolmadı","259,16218","285,62751"
"206511011","ÜSKÜDAR ÜNİVERSİTESİ","İletişim Fakültesi","Radyo, Televizyon ve Sinema","(%50 İndirimli) (4 Yıllık)","İSTANBUL","Vakıf","%50 İndirimli","Örgün","34+0","68+0","68+0","28+0","Doldu","34","19","68","28","580.384","Dolmadı","718.000","861.549","272,75819","Dolmadı","222,12632","201,58231"
"206552527","ÜSKÜDAR ÜNİVERSİTESİ","İletişim Fakültesi","Yeni Medya ve İletişim","(%50 İndirimli) (4 Yıllık)","İSTANBUL","Vakıf","%50 İndirimli","Örgün","59+0","68+0","68+0","16+0","Doldu","59","39","68","13","583.210","Dolmadı","801.000","Dolmadı","272,46351","Dolmadı","209,95902","Dolmadı"
"206190383","YEDİTEPE ÜNİVERSİTESİ","İletişim Fakültesi","Halkla İlişkiler ve Tanıtım","(İngilizce) (Ücretli) (4 Yıllık)","İSTANBUL","Vakıf","Ücretli","Örgün","4+0","4+0","5+0","---","Doldu","4","---","3","---","583.593","Dolmadı","Dolmadı","---","272,42161","Dolmadı","Dolmadı","---"
"300410834","ULUSLARARASI KIBRIS ÜNİVERSİTESİ","İletişim Fakültesi","Gazetecilik","(İngilizce) (Burslu) (4 Yıllık)","KKTC-LEFKOŞA","KKTC","Burslu","Örgün","3+0","3+0","3+0","8+0","Doldu","3","3","3","3","585.162","463.090","765.000","Dolmadı","272,26735","234,77215","216,21348","Dolmadı"
"106410378","KASTAMONU ÜNİVERSİTESİ","İnsan ve Toplum Bilimleri Fakültesi","Coğrafya","(4 Yıllık)","KASTAMONU","Devlet","Ücretsiz","Örgün","60+2","60+2","60+2","60+2","Doldu","62","56","62","62","585.230","Dolmadı","350.000","306.972","272,26091","Dolmadı","273,67346","293,04953"
"203410686","İSTANBUL TİCARET ÜNİVERSİTESİ","İletişim Fakültesi","Görsel İletişim Tasarımı","(%50 İndirimli) (4 Yıllık)","İSTANBUL","Vakıf","%50 İndirimli","Örgün","45+0","45+0","38+0","20+0","Doldu","45","37","38","20","586.548","Dolmadı","536.000","579.248","272,12332","Dolmadı","245,49962","253,58119"
"102790289","ÇANAKKALE ONSEKİZ MART ÜNİVERSİTESİ","İlahiyat Fakültesi","İlahiyat (M.T.O.K.)","(M.T.O.K.) (4 Yıllık)","ÇANAKKALE","Devlet","Ücretsiz","Örgün","20+0","20+0","---","---","Doldu","20","20","---","---","586.892","460.509","---","---","272,08300","235,10290","---","---"
"204590553","NİŞANTAŞI ÜNİVERSİTESİ","Sanat ve Tasarım Fakültesi","İletişim ve Tasarımı","(%50 İndirimli) (4 Yıllık)","İSTANBUL","Vakıf","%50 İndirimli","Örgün","24+0","19+0","44+0","---","Doldu","24","8","16","---","587.496","Dolmadı","Dolmadı","---","272,01411","Dolmadı","Dolmadı","---"
"101410269","ATATÜRK ÜNİVERSİTESİ","İletişim Fakültesi","Radyo, Televizyon ve Sinema","(4 Yıllık)","ERZURUM","Devlet","Ücretsiz","Örgün","90+3","90+3","90+3","90+3","Doldu","93","93","93","93","591.102","530.390","476.000","400.589","271,65312","224,54392","253,87187","277,90517"
"100990046","AMASYA ÜNİVERSİTESİ","İlahiyat Fakültesi","İlahiyat (M.T.O.K.)","(M.T.O.K.) (4 Yıllık)","AMASYA","Devlet","Ücretsiz","Örgün","11+0","11+0","---","---","Doldu","11","11","---","---","591.236","483.368","---","---","271,64141","232,11575","---","---"
"108790091","RECEP TAYYİP ERDOĞAN ÜNİVERSİTESİ","İlahiyat Fakültesi","İlahiyat (M.T.O.K.)","(M.T.O.K.) (4 Yıllık)","RİZE","Devlet","Ücretsiz","Örgün","20+0","20+0","---","---","Doldu","20","20","---","---","591.377","510.518","---","---","271,62919","228,18075","---","---"
"204590552","NİŞANTAŞI ÜNİVERSİTESİ","Sanat ve Tasarım Fakültesi","İletişim ve Tasarımı","(Ücretli) (4 Yıllık)","İSTANBUL","Vakıf","Ücretli","Örgün","1+0","1+0","1+0","---","Doldu","1","---","---","---","591.593","Dolmadı","Dolmadı","---","271,60828","Dolmadı","Dolmadı","---"
"200612256","BAŞKENT ÜNİVERSİTESİ","Güzel Sanatlar Tasarım ve Mimarlık Fakültesi","Gastronomi ve Mutfak Sanatları (Fakülte)","(Ücretli) (4 Yıllık)","ANKARA","Vakıf","Ücretli","Örgün","14+0","14+0","14+0","15+0","Doldu","14","11","14","15","591.827","Dolmadı","616.000","668.925","271,58351","Dolmadı","234,65510","242,71993"
"409610594","ULUSLARARASI BALKAN ÜNİVERSİTESİ","İletişim Fakültesi","Yeni Medya ve İletişim","(%50 İndirimli) (4 Yıllık)","ÜSKÜP-MAKEDONYA","Yurtdışı","%50 İndirimli","Örgün","2+0","2+0","3+0","3+0","Doldu","2","---","2","1","592.248","Dolmadı","Dolmadı","Dolmadı","271,53895","Dolmadı","Dolmadı","Dolmadı"
"103610076","ERZİNCAN BİNALİ YILDIRIM ÜNİVERSİTESİ","Fen-Edebiyat Fakültesi","Türk Dili ve Edebiyatı","(4 Yıllık)","ERZİNCAN","Devlet","Ücretsiz","Örgün","60+2","60+2","60+2","60+2","Doldu","62","55","62","62","592.469","Dolmadı","407.000","377.322","271,51326","Dolmadı","264,37250","281,43120"
"110310471","ZONGULDAK BÜLENT ECEVİT ÜNİVERSİTESİ","İnsan ve Toplum Bilimleri Fakültesi","Tarih","(4 Yıllık)","ZONGULDAK","Devlet","Ücretsiz","Örgün","60+2","60+2","60+2","60+2","Doldu","62","57","62","62","592.669","Dolmadı","435.000","364.047","271,49233","Dolmadı","260,06870","283,52355"
"101410842","ATATÜRK ÜNİVERSİTESİ","İletişim Fakültesi","Halkla İlişkiler ve Tanıtım","(4 Yıllık)","ERZURUM","Devlet","Ücretsiz","Örgün","90+3","90+3","90+3","90+3","Doldu","93","93","93","93","593.249","484.123","427.000","413.859","271,43211","232,01157","261,29323","275,90026"
"108930283","SELÇUK ÜNİVERSİTESİ","İletişim Fakültesi","Radyo, Televizyon ve Sinema","(İÖ) (4 Yıllık)","KONYA","Devlet","İÖ-Ücretli","İkinci","80+2","80+2","80+2","80+2","Doldu","82","82","82","82","594.375","526.828","376.000","338.411","271,31092","225,25876","269,29892","287,67713"
"101210208","ARDAHAN ÜNİVERSİTESİ","İlahiyat Fakültesi","İlahiyat","(4 Yıllık)","ARDAHAN","Devlet","Ücretsiz","Örgün","80+2","80+2","90+3","80+2","Doldu","82","61","93","82","595.199","Dolmadı","288.000","247.608","271,22419","Dolmadı","284,92109","304,13525"
"100890059","AKSARAY ÜNİVERSİTESİ","İletişim Fakültesi","Halkla İlişkiler ve Reklamcılık (Fakülte)","(4 Yıllık)","AKSARAY","Devlet","Ücretsiz","Örgün","60+2","60+2","60+2","60+2","Doldu","62","62","62","62","596.199","553.175","477.000","454.200","271,12024","216,68589","253,79216","270,09050"
"208151288","İSTANBUL RUMELİ ÜNİVERSİTESİ","Sanat, Tasarım ve Mimarlık Fakültesi","Gastronomi ve Mutfak Sanatları (Fakülte)","(Ücretli) (4 Yıllık)","İSTANBUL","Vakıf","Ücretli","Örgün","1+0","---","---","---","Doldu","1","---","---","---","596.373","---","---","---","271,10309","---","---","---"
"202412491","İSTANBUL AYDIN ÜNİVERSİTESİ","İletişim Fakültesi","Görsel İletişim Tasarımı","(%50 İndirimli) (4 Yıllık)","İSTANBUL","Vakıf","%50 İndirimli","Örgün","61+0","60+0","59+0","27+0","Doldu","61","60","59","25","596.975","545.375","602.000","Dolmadı","271,04011","220,55925","236,58152","Dolmadı"
"100430267","AFYON KOCATEPE ÜNİVERSİTESİ","Fen-Edebiyat Fakültesi","Coğrafya","(İÖ) (4 Yıllık)","AFYONKARAHİSAR","Devlet","İÖ-Ücretli","İkinci","40+1","40+1","50+2","60+2","Doldu","41","33","52","62","598.835","Dolmadı","427.000","375.490","270,85168","Dolmadı","261,28023","281,71607"
"104510108","GİRESUN ÜNİVERSİTESİ","Fen-Edebiyat Fakültesi","Tarih","(4 Yıllık)","GİRESUN","Devlet","Ücretsiz","Örgün","60+2","60+2","60+2","60+2","Doldu","62","47","62","62","600.978","Dolmadı","449.000","388.642","270,63736","Dolmadı","257,95016","279,70918"
"200590172","BAHÇEŞEHİR ÜNİVERSİTESİ","İletişim Fakültesi","Halkla İlişkiler ve Tanıtım","(İngilizce) (Ücretli) (4 Yıllık)","İSTANBUL","Vakıf","Ücretli","Örgün","15+0","21+0","21+0","20+0","Doldu","15","17","21","20","601.401","Dolmadı","767.000","729.598","270,59329","Dolmadı","215,99933","235,68026"
"202090304","IŞIK ÜNİVERSİTESİ","Sanat, Tasarım ve Mimarlık Fakültesi","Görsel İletişim Tasarımı","(%50 İndirimli) (4 Yıllık)","İSTANBUL","Vakıf","%50 İndirimli","Örgün","17+0","36+0","---","---","Doldu","17","7","---","---","601.785","Dolmadı","---","---","270,55427","Dolmadı","---","---"
"108730134","RECEP TAYYİP ERDOĞAN ÜNİVERSİTESİ","İlahiyat Fakültesi","İlahiyat","(İÖ) (4 Yıllık)","RİZE","Devlet","İÖ-Ücretli","İkinci","125+4","125+4","140+4","150+4","Doldu","129","78","144","154","601.993","Dolmadı","241.000","207.810","270,53149","Dolmadı","294,23587","312,45717"
"209210086","ANKARA MEDİPOL ÜNİVERSİTESİ","İletişim Fakültesi","Halkla İlişkiler ve Reklamcılık (Fakülte)","(%50 İndirimli) (4 Yıllık)","ANKARA","Vakıf","%50 İndirimli","Örgün","38+0","38+0","51+0","---","Doldu","38","28","30","---","603.186","Dolmadı","Dolmadı","---","270,40659","Dolmadı","Dolmadı","---"
"109190051","SİNOP ÜNİVERSİTESİ","İlahiyat Fakültesi","İlahiyat (M.T.O.K.)","(M.T.O.K.) (4 Yıllık)","SİNOP","Devlet","Ücretsiz","Örgün","10+0","10+0","---","---","Doldu","10","10","---","---","605.531","504.415","---","---","270,17777","229,12176","---","---"
"206010681","YAŞAR ÜNİVERSİTESİ","İletişim Fakültesi","Görsel İletişim Tasarımı","(İngilizce) (Ücretli) (4 Yıllık)","İZMİR","Vakıf","Ücretli","Örgün","3+0","3+0","3+0","3+0","Doldu","3","1","3","---","607.668","Dolmadı","665.000","Dolmadı","269,95593","Dolmadı","228,41357","Dolmadı"
"203011422","İSTANBUL KÜLTÜR ÜNİVERSİTESİ","Sanat ve Tasarım Fakültesi","Yeni Medya ve İletişim","(%50 İndirimli) (4 Yıllık)","İSTANBUL","Vakıf","%50 İndirimli","Örgün","34+0","38+0","38+0","30+0","Doldu","34","23","38","30","608.005","Dolmadı","618.000","828.610","269,92113","Dolmadı","234,38177","222,17265"
"107090326","NECMETTİN ERBAKAN ÜNİVERSİTESİ","Güzel Sanatlar ve Mimarlık Fakültesi","Geleneksel Türk Sanatları","(4 Yıllık)","KONYA","Devlet","Ücretsiz","Örgün","20+1","---","---","---","Doldu","21","---","---","---","611.829","---","---","---","269,53223","---","---","---"
"102990397","ÇUKUROVA ÜNİVERSİTESİ","İlahiyat Fakültesi","İlahiyat (M.T.O.K.)","(M.T.O.K.) (4 Yıllık)","ADANA","Devlet","Ücretsiz","Örgün","15+0","15+0","---","---","Doldu","15","15","---","---","582.583","562.571","---","---","269,36391","203,04171","---","---"
